is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ticker,name,has_houyi,has_whale,composite_score
True,1,-0.04166666666666666,-0.031666596730550126,True,False,賣出 (動能轉弱),14.649999618530273,2026-06-22 00:00:00,AES,AES Corporation,False,False,0
True,1,2.8439559936523438,2.9668299357096353,True,False,觀望 (動能減弱),130.92999267578125,2026-06-22 00:00:00,ALLE,Allegion,False,False,0
True,1,3.8133341471354165,4.335001627604166,True,False,觀望 (動能減弱),199.7100067138672,2026-06-22 00:00:00,BIIB,Biogen,False,True,2
True,1,2.1133295694986978,2.294995625813802,True,False,觀望 (動能減弱),77.33000183105469,2026-06-22 00:00:00,BLDR,Builders FirstSource,False,False,0
True,1,-4.540003458658854,-3.4866689046223955,True,False,賣出 (動能轉弱),347.1700134277344,2026-06-22 00:00:00,CPAY,Corpay,False,False,0
True,1,-0.14500172932942706,-0.42166773478190095,True,False,觀察 (跌勢收斂),85.87999725341797,2026-06-22 00:00:00,EW,Edwards Lifesciences,False,False,1
True,1,-0.8533732096354165,-0.7532908121744791,True,False,賣出 (動能轉弱),236.33999633789062,2026-06-22 00:00:00,GRMN,Garmin,True,False,1
True,1,-0.51666259765625,2.099995930989583,True,False,賣出 (動能轉弱),545.72998046875,2026-06-22 00:00:00,IDXX,Idexx Laboratories,False,False,0
True,1,9.716669718424479,9.456675211588541,True,False,買入 (動能增強),377.239990234375,2026-06-22 00:00:00,JBL,Jabil,False,False,2
True,1,-1.2466646830240884,0.033334096272786495,True,False,賣出 (動能轉弱),87.44000244140625,2026-06-22 00:00:00,LEN,Lennar,False,False,0
True,1,0.5149943033854165,-0.8550008138020833,True,False,買入 (動能增強),447.3299865722656,2026-06-22 00:00:00,MCO,Moody's Corporation,False,True,4
True,1,3.883341471354167,3.4050089518229165,True,False,買入 (動能增強),616.6500244140625,2026-06-22 00:00:00,TDY,Teledyne Technologies,False,False,2
True,1,1.6316655476888018,1.0106709798177083,True,False,買入 (動能增強),111.7699966430664,2026-06-22 00:00:00,XYL,Xylem Inc.,False,False,2
True,0,7.8289642333984375,5.416819254557291,True,False,買入 (動能增強),445.4800109863281,2026-06-22 00:00:00,ADI,Analog Devices,False,False,2
True,0,2.2233327229817705,1.154998779296875,True,False,買入 (動能增強),130.3000030517578,2026-06-22 00:00:00,AEP,American Electric Power,False,False,2
True,0,1.6198450724283853,0.5937449137369791,True,False,買入 (動能增強),76.37000274658203,2026-06-22 00:00:00,AIG,American International Group,False,False,2
True,0,0.27999369303385424,-1.7733408610026038,True,False,買入 (動能增強),283.1099853515625,2026-06-22 00:00:00,APD,Air Products,False,True,4
True,0,5.421056111653645,5.9939028422037754,True,False,觀望 (動能減弱),125.9000015258789,2026-06-22 00:00:00,ARES,Ares Management,True,False,1
True,0,2.0952529907226562,1.8248494466145833,True,False,買入 (動能增強),157.47999572753906,2026-06-22 00:00:00,AVY,Avery Dennison,False,False,2
True,0,3.171669006347656,3.086668650309244,True,False,買入 (動能增強),124.91999816894531,2026-06-22 00:00:00,AWK,American Water Works,False,False,2
False,0,-1.4620997111002603,-0.7096023559570312,False,True,強烈賣出 (跌破),140.7100067138672,2026-06-22 00:00:00,BDX,Becton Dickinson,False,False,0
True,0,3.6908060709635415,3.240186055501302,True,False,買入 (動能增強),167.77000427246094,2026-06-22 00:00:00,BKNG,Booking Holdings,False,False,2
True,0,3.8166681925455728,3.0116678873697915,True,False,買入 (動能增強),146.44000244140625,2026-06-22 00:00:00,BNY,BNY Mellon,False,False,2
