is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ma20,ma20_slope,ma20_converging,close_above_ma20,volume_expansion_ratio,volume_expansion,rs_ratio,rs_index,rs_ema20,rs_ema60,rs_slope_1d,rs_slope_5d,rs_slope_20d,rs_slope,rs_above_ema20,rs_above_ema60,rs_ema20_above_ema60,rs_new_high_60,rs_new_high_120,rs_rising_10,rs_percentile_60,rs_high_price_not_high,price_dist_to_high_60,rs_signal,ticker,name,ranking_score,ranking_score_version,feature_schema_version,feature_schema_date,rs_component_score,experimental_score,shadow_score_ma20,shadow_score_rs,composite_score,composite_score_v2,score_version,rank_position_v1,ranking_percentile_v1,rank_position,ranking_percentile,rank_position_v2,ranking_percentile_v2,benchmark_symbol,benchmark_source,benchmark_period,benchmark_last_date,scan_id,has_houyi,has_whale
True,1,0.0483296712239583,0.28333028157552087,True,False,觀望 (動能減弱),177.85000610351562,2026-09-11 00:00:00,175.47300033569337,0.1830001831054915,False,True,0.9461544458902809,False,0.23269964439747337,57.481052458480825,0.22877353175703735,0.2308459880030319,0.18097501757901036,0.32548914612358093,1.596709353119663,0.18097501757901036,True,True,False,False,False,True,0.5647001161146463,False,-0.017891602517510652,偏強 (RS上升),AMT,American Tower,0,v1,phase6a,2026-07-12,1,1,2,1,0,1,v1,48,0.4777777777777778,48,0.4777777777777778,49,0.4666666666666667,SPY,yfinance,2y,2026-09-11,scan_20260911_225403,False,False
True,1,7.98999532063802,6.931660970052083,True,False,買入 (動能增強),323.9599914550781,2026-09-11 00:00:00,312.0074981689453,0.5644989013671875,False,True,0.8230329054593515,False,0.4238705213579131,219.20402417736585,0.4221242267892215,0.5013324857303099,0.04356550786952518,-1.3807785686641316,-16.241607322730133,0.04356550786952518,True,False,False,False,False,True,0.08954868765684665,False,-0.42622341109791073,中性,APP,AppLovin,2,v1,phase6a,2026-07-12,0,2,4,2,2,2,v1,9,0.9111111111111111,9,0.9111111111111111,26,0.7222222222222222,SPY,yfinance,2y,2026-09-11,scan_20260911_225403,False,False
True,1,0.2433344523111979,0.5116666158040364,True,False,觀望 (動能減弱),75.62000274658203,2026-09-11 00:00:00,75.52450065612793,-0.005500030517580967,False,True,1.0983831415158127,False,0.09894150770072847,50.33046854012528,0.09885555546907346,0.103141129024466,0.009153184596466524,-0.22024455192390935,-1.3132575816694803,0.009153184596466524,True,False,False,False,False,True,0.17852527356444828,False,-0.11833967930211986,中性,CCI,Crown Castle,0,v1,phase6a,2026-07-12,0,0,1,0,0,0,v1,54,0.4111111111111111,54,0.4111111111111111,67,0.26666666666666666,SPY,yfinance,2y,2026-09-11,scan_20260911_225403,False,False
True,1,3.81292724609375,4.560628255208333,True,False,觀望 (動能減弱),280.760009765625,2026-09-11 00:00:00,278.23387298583987,0.21524963378908524,False,True,0.9646318920503977,False,0.36734749615620416,57.735201225283284,0.36497794336560296,0.3713624142494079,0.0683869228968792,0.15953655320970483,-1.107429649574454,0.0683869228968792,True,False,False,False,False,True,0.3268097881931184,False,-0.07284434241638993,偏強 (RS上升),CI,Cigna,0,v1,phase6a,2026-07-12,1,1,2,1,0,1,v1,56,0.3888888888888889,56,0.3888888888888889,52,0.43333333333333335,SPY,yfinance,2y,2026-09-11,scan_20260911_225403,False,False
True,1,0.9650001525878906,1.2166659037272134,True,False,觀望 (動能減弱),66.41999816894531,2026-09-11 00:00:00,65.47949981689453,0.018999862670895595,False,True,0.9318215868358742,False,0.08690418568666489,63.43710365741307,0.08565513560469104,0.08422844307999709,0.1537340206784421,0.07936313936467432,0.007576181574231455,0.1537340206784421,True,True,True,False,False,True,0.5222273721146443,False,-0.03346919398867665,偏強 (RS上升),CNC,Centene Corporation,0,v1,phase6a,2026-07-12,2,2,2,2,0,2,v1,58,0.36666666666666664,58,0.36666666666666664,34,0.6333333333333333,SPY,yfinance,2y,2026-09-11,scan_20260911_225403,False,False
True,1,-0.12366612752278647,-0.0908966064453125,True,False,賣出 (動能轉弱),106.45999908447266,2026-09-11 00:00:00,107.56801490783691,-0.05241317749023722,False,False,0.6762955818157291,False,0.13929267967015507,78.66907193384054,0.1406200028680122,0.14309511647570744,-0.0992600939119237,-0.1304992368196034,-1.38943631216627,-0.0992600939119237,False,False,False,False,False,True,0.17863416778085944,False,-0.05839862801046336,中性,ED,Consolidated Edison,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,62,0.32222222222222224,62,0.32222222222222224,72,0.2111111111111111,SPY,yfinance,2y,2026-09-11,scan_20260911_225403,False,False
True,1,0.2689946492513019,0.35430653889973956,True,False,觀望 (動能減弱),85.62000274658203,2026-09-11 00:00:00,85.79443969726563,-0.02958564758300497,False,False,1.2870618969659315,False,0.11202554685797389,135.2272815681639,0.11212219364742193,0.11094724322491684,-0.009072622410855047,0.07878961673752904,-0.33940866082556864,-0.009072622410855047,False,True,True,False,False,True,0.5162562491752773,False,-0.04986641691874005,偏強 (RS上升),GM,General Motors,0,v1,phase6a,2026-07-12,1,1,0,1,0,1,v1,69,0.24444444444444444,69,0.24444444444444444,54,0.4111111111111111,SPY,yfinance,2y,2026-09-11,scan_20260911_225403,False,False
True,1,0.0752487182617187,0.46748352050781244,True,False,觀望 (動能減弱),136.36000061035156,2026-09-11 00:00:00,137.30454330444337,-0.042405700683588066,False,False,0.9065749421559425,False,0.17841395874678478,87.564309757249,0.17985606100504883,0.18171332631360582,-0.08432978241281752,-0.3148011650377813,-2.290447142911922,-0.08432978241281752,False,False,False,False,False,True,0.26642738597227494,False,-0.05986984286188746,中性,HIG,Hartford (The),0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,75,0.17777777777777778,75,0.17777777777777778,82,0.1,SPY,yfinance,2y,2026-09-11,scan_20260911_225403,False,False
True,1,2.4183349609375,1.376668294270833,True,False,買入 (動能增強),243.2899932861328,2026-09-11 00:00:00,234.38799896240235,0.3074996948242301,False,True,1.021368225151559,False,0.31832157987217347,86.67546124501224,0.3072716706749406,0.3172720546041501,0.37997907659199637,0.7121699008087568,-0.1276284459564514,0.37997907659199637,True,True,False,False,False,True,0.3377332138339454,False,-0.19957130755663177,偏強 (RS上升),IBM,IBM,2,v1,phase6a,2026-07-12,1,3,4,3,2,3,v1,16,0.8333333333333334,16,0.8333333333333334,16,0.8333333333333334,SPY,yfinance,2y,2026-09-11,scan_20260911_225403,False,False
True,1,-0.2966664632161458,-0.0033327738444010047,True,False,賣出 (動能轉弱),90.95999908447266,2026-09-11 00:00:00,91.99999961853027,0.018999862670895595,False,False,0.6801948252847011,False,0.11901241897642469,77.04471879172837,0.11927366568674838,0.11619599564583966,-0.023050616177811012,0.6946938579946993,4.764530988457882,-0.023050616177811012,False,True,True,False,False,True,0.8081594325522639,False,-0.03408727988625182,偏強 (RS上升),MDT,Medtronic,0,v1,phase6a,2026-07-12,1,1,1,1,0,1,v1,80,0.12222222222222222,80,0.12222222222222222,58,0.36666666666666664,SPY,yfinance,2y,2026-09-11,scan_20260911_225403,False,False
