ticker,base_signal,base_score,squeeze_state,momentum,atm_iv,call_skew,put_skew,risk_reversal,skew_bias,total_volume,avg_spread_pct,otm_call_distance,otm_put_distance,liquidity_ok,iv_overheated,skew_score_v2,final_score_v2,score_delta,final_action,reason
AME,WATCH_CONVERGE,1,Squeezing,-1.3650004069010417,0.37476211181640623,0.000977,-0.00824,0.009216,neutral,802.0,0.1985,0.0422,0.0422,True,False,10,11,10.0,NO_TRADE,Squeeze + call skew confirmation
CLX,SELL,0,Squeezing,-0.2133331298828125,0.37964487548828124,-0.002441,0.059081,-0.061523,bearish,578.0,0.1464,0.0522,0.0522,True,False,10,10,10.0,NO_TRADE,Bearish squeeze + put skew confirmation
AWK,SELL,0,Squeezing,-0.13999684651692706,0.24036404174804685,-0.004272,0.032959,-0.037231,bearish,130.0,0.1306,0.0374,0.0374,True,False,10,10,10.0,NO_TRADE,Bearish squeeze + put skew confirmation
AVGO,STRONG_BUY,3,Fired,13.686665852864582,0.5518843640136719,-0.0047,-0.033294,0.028595,bullish,74.0,0.0858,0.0126,0.0126,True,False,0,3,0.0,NO_TRADE,No clear skew signal
DECK,HOLD_WEAKEN,3,Squeezing,2.6749992370605464,0.6757844921875001,0.0,0.0,0.0,neutral,1.0,29.0,0.1687,0.3687,False,,0,3,0,NO_SKEW_DATA,Option liquidity too low: volume=1<50; spread=2900.0%>25%
A,BUY,2,Squeezing,0.5026880900065104,0.3742738354492187,-0.009766,-0.03125,0.021484,bullish,105.0,0.2921,0.0375,0.0375,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=29.2%>25%
AMGN,HOLD_WEAKEN,2,Squeezing,1.6216735839843748,0.3723207299804688,-0.002045,0.056152,-0.058196,bearish,64.0,0.5069,0.0137,0.0683,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=50.7%>25%
AMT,BUY,2,Squeezing,0.34499867757161484,0.35645174804687496,-0.008789,-0.01416,0.005371,neutral,130.0,0.1977,0.0301,0.0301,True,False,0,2,0.0,NO_TRADE,No clear skew signal
BDX,HOLD_WEAKEN,2,Squeezing,0.9166666666666667,0.3898986791992188,-0.017334,-0.029052,0.011719,neutral,25.0,0.3317,0.0326,0.0326,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: volume=25<50; spread=33.2%>25%
CFG,BUY,2,Squeezing,1.3400001525878906,0.270515107421875,-0.033935,0.029297,-0.063232,bearish,172.0,0.2898,0.0345,0.0345,False,,0,2,0,NO_SKEW_DATA,Option liquidity too low: spread=29.0%>25%
ETR,WATCH_CONVERGE,1,Squeezing,-1.2566680908203125,0.2963937548828125,-0.037353,0.016235,-0.053588,bearish,83.0,1.0092,0.0435,0.0435,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: spread=100.9%>25%
EVRG,WATCH_CONVERGE,1,Squeezing,-1.1716677347819011,0.4085752502441406,-0.176146,0.0,-0.176146,bearish,3.0,2.3833,0.0578,0.082,False,,0,1,0,NO_SKEW_DATA,Option liquidity too low: volume=3<50; spread=238.3%>25%
